karar	iddia	beklenen_kanit	bulunan	verdict	tur
373/374	EtkinlikListe tek kabuk, variant='kart' dalı SİLİNDİ	dosya + variant değer kümesi	"EtkinlikListe.astro var, :33 daima variant=""satir"". ANCAK EtkinlikKart.astro:26 variant?: 'satir' | 'kart' union CANLI, :49 default 'kart', :56 BaslikTag dallanması, :73 sınıf eki, :80 variant === 'kart' && etkinlik.kartGorsel dalı CANLI"	SAPMA	1
380	Baseline li { padding-left:0; margin-bottom:0 }	atmosfer.css	atmosfer.css:1224-1234 baseline li → padding-left: var(--space-6), margin-bottom: var(--rhythm-block). 0/0 değerleri yalnız atmosfer.css:1261-1263 .ocak-etkinlik-liste__satir scope'unda	SAPMA	1
383	Çift-uçlu pencereIcinde (kapanış DAHİL / başlangıç HARİÇ)	etkinlik-server.ts veya ilgili lib	format-etkinlik.ts:69 export function pencereIcinde; :77 kayitKapanis >= bugunStr (kapanış günü DAHİL); :80 tarihBaslangic > bugunStr (başlangıç günü HARİÇ, strict); :83 kayitAcilis alt ucu >=; format-fail dallarında defansif göster. format-etkinlik.ts:147 filter çağrısı	TEYIT	1
384	Dolu GÖRÜNÜR, İptal GİZLİ	filtre koşulu	"format-etkinlik.ts:205 filter durum === 'Kayıt Açık' || durum === 'Dolu'; etkinlik-server.ts:19 aynı set; EtkinlikTakvimi.astro:14 yorum siteGoster && durum !== 'İptal'; dropdown-filter.test.ts:52 ""Kayıt Açık + Dolu geçer, Taslak/Geçti/İptal elenir"" testi"	TEYIT	1
385	Build-time gün kararı Europe/Istanbul sabitli, setHours kalıntısı yok	new Date() + setHours kalıntısı olmamalı	DÜZELTİLDİ (commit 9da42b0 + 84f939c + ebf07a4). Üç canlı setHours(0,0,0,0) kaldırıldı: davet-guvenlik-agi.ts artık tarihRaw.slice(0,10) < bugunTR(); etkinlik/[slug].astro aynı desen (parcala() ölü kaldı, silindi); havale vade hesabı lib/havale-vade.ts'e taşındı, gün farkı bugunTR() + Date.UTC ile. src/ genelinde CANLI setHours SIFIR — kalan altı geçiş yalnız yorum satırlarında. trGun/bugunTR export edildi (yeni yardımcı yazılmadı). Regresyon kilidi: havale-vade.test.ts 5 test; eski implementasyonla 2/5 düşüyor. vitest.config.ts env.TZ='UTC' — makine Europe/Istanbul olduğu için TZ sabitlenmezse bu sınıf hata yerelde sessizce geçiyordu	TEYIT	4
390/391	/takvim#slug ön-seçili filtre VAR, hashchange/pageshow eki YOK	addEventListener('hashchange' / 'pageshow') araması	"addEventListener('hashchange' SIFIR, 'pageshow' SIFIR. Tek geçiş EtkinlikTakvimi.astro:127 YORUM içinde ""hashchange"". Hash ön-seçimi commit f6c94bf (16 Tem) ile var. Ledger DOĞRU — borç açık"	TEYIT	1
394	Client <script> import zincirinde server-only API yok	etkinlik-server.ts client tarafından import ediliyor mu	etkinlik-server.ts'e src/ genelinde client import SIFIR. Tek referanslar: kendi başlığı :1 ve etkinlik-kategori.ts:231 YORUM satırı	TEYIT	1
411	Dört lehçe → tek .liste__oge	.liste__oge kaç dosyada; eski dört sınıf adı hâlâ var mı	.liste__oge 5 dosyada (atmosfer.css, remark-ocak-sections.ts, .test.ts, __snapshots__, araclar.astro). Eski adlar: kart__satir 0, liste-oge 0, ocak-liste__oge 0, ocak-liste 0. ocak-etkinlik-liste__satir 3 dosyada — ayrı takvim satırı sınıfı, lehçe değil	TEYIT	1
412	Meta-slot kaldırıldı	tek akşam / Hafta suffix parse kalıntısı	'tek akşam', 'Hafta suffix', 'metaSlot', 'meta-slot' aramaları remark-ocak-sections.ts'te SIFIR	TEYIT	1
413	collapsible bayrağı	bileşen prop'u mevcut mu, hangi sayfalar hangi modda	remark-ocak-sections.ts:480 collapsible: boolean = false (imza) + :509 dallanma + :1373 formatlar/seri-atolyeler → true, atolyeler ayrı grup; :441 yorum accordion sayfa listesi	TEYIT	1
415	--ember-alpha-08 + --ray-notr tanımlı	tokens.css	tokens.css:21 --ember-alpha-08: rgba(196,75,47,0.08) + tokens.css:31 --ray-notr: rgba(242,234,226,0.12)	TEYIT	1
417	Ölü blok silindi	"section[data-section^=""raf-""] sıfır mı"	"CSS'te section[data-section^=""raf-""] SIFIR. raf-* yalnız remark-ocak-sections.ts:98-101 RAF_SECTIONS whitelist'inde (canlı /araclar akordiyonu, ölü blok değil)"	TEYIT	1
418	X-intro + X iki-section padding çakışması çözümü	atmosfer.css -intro özel kuralı	"atmosfer.css:371-374 dört explicit intro selektörü (temalar/turler/formatlar/seri-programlar-intro) + :377-380 bitişik çift kuralı; :366-367 yorum ""$=-intro YASAK, explicit 4 çift"""	TEYIT	1
425	KayitBtn.astro üç mod (A/B)	dosya var mı, prop imzası	"KayitBtn.astro var. Props (:24-27) İKİ mod: Mod A { etkinlik } — :42 metin etkinlikten türer; Mod B { format } — :27 sabit ""Yerini ayır"" + /[format]/kayit. Yorum :7-11 Mod A'yı iki bağlamda sayıyor (SonrakiBulusma kartı + mini-cta etkinlik detay) → üç ÇAĞRI YERİ, iki PROP MODU"	KISMEN	1
426	transformMiniCta son paragraph>link tüketimi	plugin kodunda bu dal var mı	"remark-ocak-sections.ts:660 fonksiyon; :661-662 yorum ""Son child tek-link paragraph (paragraph > link) ise TÜKET""; :665-671 lastIdx + isTailLinkPara koşulu (type==='paragraph' && children.length===1 && children[0].type==='link'); :672 body = isTailLinkPara ? content.slice(0,lastIdx) : content; :1306 çağrı"	TEYIT	1
427	atmosfer.css'te dört section genişlik kolonu	atmosfer.css :1538-1552	atmosfer.css:1538-1544 (4 selektör: etkinlik-takvimi, sonraki-bulusma, kayit-btn, mini-cta; max-width:none + padding-inline:0) + :1546-1554 @media min-768 calc((100vw - 2*var(--space-4))/3)	TEYIT	1
428	Detay kartı <EtkinlikListe etkinlikler={[etkinlik]} />	/etkinlik/[slug] sayfası	src/pages/etkinlik/[slug].astro:27 import + :148 <EtkinlikListe etkinlikler={[etkinlik]} showKayitLink={false} /> — birebir	TEYIT	1
176-dist	AtesMektuplari success state HTML'inde ember dot elementi	[dist] success state	"İKİ sayfada var: / ve /onizleme. Her ikisinde de <div class=""ates-mektuplari__success"" hidden> içinde <div class=""ates-mektuplari__success-ember"" aria-hidden=""true""></div> — ember dot elementi RENDER OLUYOR"	TEYIT	3
416-dist	<summary> bloklarında heading etiketi araması sıfır mı	[dist] summary içi h1-h6	"dist/client'ta 92 <summary> bloğu tarandı. İçinde <h1>-<h6> geçen: SIFIR. 12 blokta role=""heading"" taşıyan <span> var (remark-ocak-sections.ts:514 kuralının çıktısı). KARAR 416 dist'te DOĞRULANDI"	TEYIT	3
423-dist	sonraki-bulusma + mini-cta hangi sayfalarda buton emit ediyor	[dist] section bazlı buton sayımı	"GERÇEK KAYIT BUTONU YALNIZ kayit-btn'den çıkıyor, iki etkinlik detay sayfasında: <a href=""/sehir-aksami/kayit"">Yerini ayır</a> + <a href=""/takvim#sehir-aksami"">Diğer tarihler</a>. sonraki-bulusma: / ve /onizleme'de tek <a> ama Ateş Mektupları fallback'i (/#ates-mektuplari), etkinlik detayda içi boş <a>, /site-rehber'de 0 <a>. mini-cta: /anadolu ve /onizleme/anadolu'da SIFIR <a>, /site-rehber'de 1 (/acik-kapi). UYARI: yedi format sayfası prerender=false olduğu için asıl CTA yüzeyi dist/client'ta YOK — statik olarak doğrulanamaz"	KISMEN	3
ADIM0.1-EK	npm run build 0 error (ek tur, .env güncellendikten sonra)	build çıktısı	"HATA DEVAM EDİYOR — aynen: ""@notionhq/client warn: request fail { code: 'unauthorized', message: 'API token is invalid.' }"" ×2, ardından ""API token is invalid. Location: node_modules/@notionhq/client/build/src/errors.js:162:16"", stack: buildRequestError → Object.load (src/content/config.ts:19:21) → #doSync (astro/dist/content/content-layer.js:187:5). astro check geçti, astro build content sync aşamasında düştü"	SAPMA	2
ADIM0.1-EK2	npm run build 0 error (.env.local temizlendikten sonra)	build çıktısı	"BUILD GEÇTİ — astro check + astro build tamam, ""Server built in 18.38s / Complete!"". dist/client 32 index.html üretti, sitemap-index.xml + .vercel/output oluştu"	TEYIT	3
ADIM0.1-TANI	Build neden hâlâ düşüyor (yapısal tanı, token değeri OKUNMADI)	env dosyası öncelik sırası	.env 2026-08-06 14:35:12'de güncellenmiş. ANCAK .env.local (2026-06-05 03:49:18, bayat) da NOTION_TOKEN tanımlıyor ve Vite/Astro yükleme sırası .env → .env.local → .env.[mode] → .env.[mode].local şeklinde, SONRAKİ öncekini EZER. .env.preview (2026-05-27) de ayrı bir tanım taşıyor. Üç dosyada üç NOTION_TOKEN tanımı var; build .env.local'dakini kullanıyor	SAPMA	2
B02/187	Sabit-px bekçi script'i commit'lenmiş mi	scripts/ altında	"scripts/horizontal-overflow-scan.mjs VAR ve git'te izleniyor; scripts/qa-envanter.mjs VAR ve git'te izleniyor. Ledger ""commit'lenmediği için geçersiz"" diyor — dosyalar mevcut"	SAPMA	1
B09/391	hash listener	D bölümündeki arama	addEventListener('hashchange' ve 'pageshow' SIFIR. BORÇ AÇIK	TEYIT	1
B10/176	AtesMektuplari success state HTML'inde ember dot	[dist] success state ember elementi	"dist BLOKLU (build hatası). src kanıtı: AtesMektuplari.astro:80-82 div.ates-mektuplari__success[hidden] > div.ates-mektuplari__success-ember + :297 CSS kuralı (yorum :290 ""10px ember + glow""). dist doğrulaması YAPILAMADI"	KISMEN	1
B11/131	Hero glow radial-gradient stop sayısı	366 geri alması sonrası hâlâ aynı mı	"Hero.astro:110-118 OCAK odası: dört stop (0.12@0%, 0.05@30%, gold 0.02@50%, transparent@70%). Hero.astro:125-133 diğer beş oda: dört stop (0.10@0%, 0.04@30%, gold 0.02@50%, transparent@70%). Hero.astro:6 yorum ""legacy verbatim, blur YOK, drift YOK"""	TEYIT	1
B12/152	Repoda turnstile geçen tek satır	var mı	src/, public/, scripts/ genelinde 'turnstile' SIFIR. BORÇ AÇIK	TEYIT	1
B16/144	/takvim kart boyut kalibrasyonu izi	son 60 gün EtkinlikTakvimi CSS değişmiş mi	git log --since=60d: sekiz commit. En son üç: 399360a (18 Tem, buton yorumu), 860fe99 (16 Tem, filtre şeridi breakout), f6c94bf (16 Tem, hash filtre). Kart BOYUT kalibrasyonuna özel commit yok	KISMEN	1
B17/183	"AtesMektuplari e-posta input'unda autocomplete=""email"""	var mı	"AtesMektuplari.astro:37-38 type=""email"" name=""email"" — autocomplete niteliği YOK. Dosyadaki tek autocomplete :33 honeypot autocomplete=""off"". BORÇ AÇIK"	TEYIT	1
B27	"vitest çöküyor (önceki turda ""çalışmıyor"" gözlemi)"	npx vitest run	"SUITE YEŞİL — vitest 4.1.7: 9 test dosyası, 176/176 test geçti, süre 318ms. npm run test (script: ""vitest run"") aynı sonuç. Sürümler: vitest ^4.1.7 (kurulu 4.1.7), vite kurulu 6.4.2 (package.json'da doğrudan bağımlılık DEĞİL, astro ^5.0.0 üzerinden geliyor — kurulu astro 5.18.1). Sürüm uyumsuzluğu YOK. Önceki turdaki _setServer çökmesi build ile eşzamanlı çalıştırmadan kaynaklandı, tekrarlanmadı"	TEYIT	2
G.1	dist/ içinde kaç farklı kanonik section render oluyor	dist/client data-section sayımı	125 FARKLI section adı. En yoğun onu: hero 26 sayfa, siradaki-kapi 16, buyuk-vurgu 10, intro 9, sss 7, kayit-formu 7, sonraki-bulusma 5, ic-ses 4, esik-kadini 4, mini-cta 3. Kanonik-dışı büyük kümeler: bolum-1..27 (27 adet, /site-rehber), esik-* 10, raf-* 6, format-* 8, katman-* 6, tasidigi-* 3	TEYIT	3
G.2	CANONICAL_SECTIONS'ta tanımlı ama dist/'te HİÇ render olmayan section	10 kanonik adın dist karşılığı	"DOKUZU render oluyor: hero 26, siradaki-kapi 16, buyuk-vurgu 10, sss 7, sonraki-bulusma 5, ic-ses 4, mini-cta 3, bir-sonraki 1, manifesto-vurgu 1. BİRİ RENDER OLMUYOR: al-ol-ver — data-section=""al-ol-ver"" dist'te SIFIR"	KISMEN	3
G.2-al-ol-ver	al-ol-ver neden dist'te yok (kök neden)	plugin emit + component devri	"SESSİZ FAKİRLEŞME DEĞİL, devir zinciri: remark-ocak-sections.ts:1263 plugin BOŞ wrapper emit ediyor (<section data-section=""al-ol-ver"" class=""ocak-al-ol-ver""></section>), PageContent.astro:50 onu <AlOlVer /> ile değiştiriyor, AlOlVer.astro:25 data-section=""al-ol-ver-component"" basıyor. Nihai HTML'de ad DEĞİŞİYOR. ANCAK al-ol-ver-component dist'te TEK sayfada: /site-rehber (dokümantasyon sayfası) — gerçek içerik sayfalarında sıfır kullanım"	SAPMA	3
G.3	ODA_MAP'te olup dist/'te sayfası olmayan slug	29 ODA_MAP sluğu vs dist/client	dist/client'ta 10 slug yok: /acik-kapi, /atolye, /cember, /mini-retreat, /sehir-aksami, /seremoni, /yolculuk, /odeme/mock, /odeme/tamam, /odeme/iptal. ONU DA prerender=false (SSR) — kaynak dosyaları var ve .vercel/output/config.json'da route'ları kayıtlı (^/cember$ vb.). GERÇEKTEN EKSİK SLUG YOK	TEYIT	3
G.3-ek	dist/'te olup ODA_MAP'te olmayan sayfa (etkinlik hariç)	ters yön kontrolü	11 sayfa: 7 kayıt route'u (/acik-kapi/kayit, /atolye/kayit, /cember/kayit, /mini-retreat/kayit, /sehir-aksami/kayit, /seremoni/kayit, /yolculuk/kayit) + /anadolu/basvuru + 3 önizleme (/onizleme, /onizleme/advaita, /onizleme/anadolu). ODA_MAP oda eşlemesi olduğu için alt-route'ları içermemesi beklenen davranış	TEYIT	3
